Name,Assign,Status
Verilog Primer,,Completed
learn assembly,,Completed
nand2tetris book megathread,,Completed
learn VIM pt 1,,Completed
learn Haskell,,
learn VIM pt 2,,
write my own language,,
look into https://www.nand2tetris.org/,,Completed
files as bytes (binary/ascii/unicode),,Completed
1. learn about transistors,,geohot stuff not sure I'm gonna do
2. language of hardware,,geohot stuff not sure I'm gonna do
3a. processors (assembly),,geohot stuff not sure I'm gonna do
3b. processors (cpu),,geohot stuff not sure I'm gonna do
4a. compilers,,geohot stuff not sure I'm gonna do
4b. linkers,,geohot stuff not sure I'm gonna do
4c. C,,geohot stuff not sure I'm gonna do
4d. network,,geohot stuff not sure I'm gonna do
4e. bootloader,,geohot stuff not sure I'm gonna do
5a. Building an MMU,,geohot stuff not sure I'm gonna do
5b. Build OS,,geohot stuff not sure I'm gonna do
5c. talk to SD card,,geohot stuff not sure I'm gonna do
5d. FAT,,geohot stuff not sure I'm gonna do
5e. Implement userspace programs,,geohot stuff not sure I'm gonna do
6. online baby,,geohot stuff not sure I'm gonna do
7. running on real hardware,,geohot stuff not sure I'm gonna do
networking megathread,,In progress
functional programming,,to start
web assembly,,to start
source code dives,,to start
stream processing,,to start
threads and processes,,to start
garbage collection,,to start
"dumb question, text/binary web",,random thoughts
putting byte array in memory,,random thoughts
